description,FaceValue,Products
"Save $2.00 on Nando's PERinaise When you buy ONE (1) Nando's PERinaise item, any variety or size",$2.00,"Nando's PERinaise item, Nando's PERinaise"
"Save $1.00 on Twizzlers Licorice Candy Bags when you buy any TWO (2) Twizzlers Licorice Candy Bags, any variety (11-16oz)",$1.00,Twizzlers Licorice Candy Bags
"Save $2.00 on 2 Crest Toothpaste when you buy TWO (2) participating Crest Toothpaste (Excludes Crest Cavity Protection, Baking Soda &amp; Peroxide, Tartar Control/Protection, and trial/travel sizes)",$2.00,"and trial/travel sizes, Crest Cavity Protection, Crest Toothpaste, Crest Cavity, travel sizes, Tartar Control/Protection, trial/travel sizes, Crest, trial/travel size"
Save $2.00 on Reese's and York Thins Candy Bags when you buy any TWO (2) Reese's or York Thins Candy Bags (7.2-7.37oz),$2.00,"Reese's or York Thins Candy Bags, Reese's and York Thins Candy Bags, Reese's"
"Save $0.80 on Kroger Chip Variety Packs When you buy ONE (1) Kroger Chip Variety Pack, any variety (13-19 OZ)",$0.80,"Kroger Chip Variety Pack, Kroger Chip Variety Packs"
"Save $0.50 on Private Selection BBQ Sauce When you buy ONE (1) Private Selection BBQ Sauce, any variety (13-19 OZ)",$0.50,Private Selection BBQ Sauce
"Save $1.00 on LISTERINE® Mouthwash or LISTERINE® READY! TABS® when you buy ONE (1) LISTERINE® Mouthwash, any varitey (500mL or larger) or ONE (1) LISTERINE® READY! TABS®, any variety (8 Ct or larger)",$1.00,"LISTERINE® Mouthwash, LISTERINE® Mouthwash or LISTERINE® READY! TABS®, LISTERINE® READY! TABS®, larger"
"Save $1.00 on 2 Ben &amp; Jerry's Ice Cream Pints or Cookie Dough Chunks when you buy TWO (2) Ben &amp; Jerry's Ice Cream Pints or Ben &amp; Jerry's Cookie Dough Chunks, any variety or size",$1.00,
Save $4.00 on 2 Colgate® Optic White® or Colgate TotalSF Toothpastes when you buy TWO (2) Colgate® Optic White® or Colgate TotalSF Toothpastes (3.0 oz or larger),$4.00,"Colgate® Optic White® or Colgate TotalSF Toothpastes, Colgate® Optic White®, larger"
Save $2.00 on 2 Oral B items when you buy TWO (2) participating Oral B Manual Toothbrushes (Excludes Oral B Healthy Clean &amp; Cavity Defense brushes and trial/travel sizes),$2.00,"and trial/travel sizes, Oral B Manual Toothbrushes, Oral B, travel sizes, Cavity Defense, Healthy Clean, trial/travel sizes, Oral B items, trial/travel size"
"Save $2.00 on Axe When you buy ONE (1) Axe Antiperspirant or Deodorant 2.7-3oz, Body Spray 4oz, Bodywash 16oz, or Shampoo 16oz. Excludes all other sizes and twin packs. This can be redeemed 5 times in a single transaction.",$2.00,"twin packs, Shampoo, Body Spray, Bodywash, Axe, Axe Antiperspirant or Deodorant, Twin"
"Save $1.00 on Oral-B Glide Floss when you buy ONE (1) Oral-B Glide Manual Floss, Floss Picks, Interdental Brush OR Interdental Picks. Excludes trial/travel size.",$1.00,"Oral-B Glide Manual Floss, Oral-B, Floss Picks, Interdental, Glide Manual Floss, Interdental Picks, Interdental Brush, Oral-B Glide Floss, trial/travel size"
Save $1.50 on Dove or Degree item When you buy ONE (1) Dove or Dove Men+Care Shampoo and Conditioner (12oz or larger) or Antiperspirant/Deodorant Sticks or Dry Sprays. Excludes trial and travel) or Degree MOTIONSENSE Antiperspirant or Deodorant Stick 2.6-3.0oz (excludes trial and travel).This can be redeemed 5 times in a single transaction,$1.50,"Dove or Dove Men+Care Shampoo and Conditioner, Degree MOTIONSENSE Antiperspirant or Deodorant Stick, Degree, trial and travel, Shampoo, Dove, Antiperspirant/Deodorant Sticks or Dry Sprays, larger"
"Save $2.00 on Oral-B Adult Manual Toothbrush when you buy ONE (1) Oral-B Pulsar OR Multi-pack Adult Manual Toothbrush. Excludes Kids, Healthy Clean, Cavity Defense and trial/travel size.",$2.00,"Pulsar, Oral-B Pulsar OR Multi-pack Adult Manual Toothbrush, Excludes Kids, Oral-B, Oral-B Adult Manual Toothbrush, Kids, Cavity Defense, Healthy Clean, trial/travel size"
"Save $0.65 on Oikos Blue Single Serve Cup When You Buy ONE (1) Oikos Blue Single Serve Cup, any size. Excludes Oikos Triple Zero products.",$0.65,"Oikos Triple Zero products, BLUE, Triple Zero, Oikos Blue Single Serve Cup, Oikos Triple Zero"
"Save $1.00 on TIDE LAUNDRY GROUP ONE Tide Laundry Detergent 50 oz OR 46 oz (excludes Tide Purclean Laundry Detergent, Studio by Tide Laundry Detergent, Tide PODS, Tide Rescue, Tide Simply, Tide Simply PODS, Tide Detergent 10 oz and trial/travel size).",$1.00,"Tide Simply PODS, Tide Purclean Laundry Detergent, Laundry Detergent, Tide Laundry Detergent, Studio by Tide Laundry Detergent, Tide, Tide detergent, Tide Rescue, Tide PODS, Tide Simply, trial/travel size"
Save $2.00 on Persil® Detergent when you buy ONE (1) Persil® Laundry Detergent (100oz) or Discs (38-40ct).,$2.00,Laundry Detergent
"Save $3.00 on Crest Toothpaste when you buy ONE (1) Crest 3D White Whitening Therapy Enamel Care, Sensitivity, Charcoal OR Ingredients (3.0 oz or larger). Excludes all other variants, Kids and trial/travel size.",$3.00,"Crest 3D White Whitening Therapy Enamel Care, Kids, Crest Toothpaste, Crest, variants, larger, trial/travel size"
"Save $2.00 on Love Beauty &amp; Planet or Schmidt's item When you buy ONE (1)  Love, Beauty &amp; Planet Shampoo, Bodywash, or Lotion (13.5-16oz), or Schmidt's Deodorant (2.65-3.25oz). Excludes trial and travel sizes. This can be redeemed 5 times in a single transaction",$2.00,"trial and travel, Shampoo, Bodywash, travel sizes"
"Save $3.00 on Crest Gum Health Toothpaste when you buy ONE (1) Crest Gum Detoxify, Gum &amp; Enamel Repair, OR Gum &amp; Sensitivity (3.0 oz or larger). Excludes all other variants, kids, and trial/travel size.",$3.00,"Kids, Crest Gum Detoxify, Gum, Crest, variants, larger, trial/travel size"
"Save $0.50 on Colgate® Kids Toothpaste when you buy ONE (1) Colgate® Kids Toothpaste, any variety (4.4 oz or larger)",$0.50,"Kids, larger"
"Save $1.50 on Community Coffee When you buy ONE (1) Bag or Single-Serve Box of Community® Coffee, any variety or size",$1.50,
Save $1.00 on Burt's Bees Adult Toothpaste when you buy ONE (1) Burt's Bees Adult Toothpaste. Excludes trial/travel size.,$1.00,trial/travel size
Save $0.75 on Burt's Bees Kids Toothpaste when you buy ONE (1) Burt's Bees Kids Toothpaste. Excludes trial/travel size.,$0.75,"Kids, trial/travel size"
Save $3.00 on Colgate® Optic White Renewal when you buy ONE (1) Colgate® Optic White Renewal Toothpaste (3.0 oz or larger),$3.00,larger
"Save $2.00 on Kauai SS Coffee Pods When you buy ONE (1) Kauai SS Coffee Pods, any variety (12ct)",$2.00,
"Save $1.00 on Suave item When you buy ONE (1)  Suave Professionals Green, Silver, or Gold, Men's or Kids Shampoo and Conditioner (12-28oz). Excludes Suave Essentials Shampoo and Conditioner or Trial Sizes. This can be redeemed 5 times in a single transaction",$1.00,"Shampoo, Kids"
"Save $1.25 on Kroger Frozen Appetizers When you buy ONE (1) Kroger Frozen Appetizer, any variety (20-33 OZ)",$1.25,
Save $3.00 on 2 TRESemme items When you buy TWO (2) TRESemme Premium Shampoo and Conditioner or Styling Aid (5-22oz). Excludes trial and travel sizes. This can be redeemed 5 times in a single transaction,$3.00,"trial and travel, Shampoo, travel sizes"
"Save $2.00 on Nando's PERi PERi Sauce When you buy ONE (1) Nando's PERi PERi Sauce, any variety or size",$2.00,
"Save $0.40 on Private Selection Mustard When you buy ONE (1) Private Selection Mustard, any variety (8-9 OZ)",$0.40,
"Save $1.00 on Planet Oat oatmilk When you buy ONE (1) Planet Oat oatmilk, any variety (52oz)",$1.00,
"Save $1.00 on Vero Gusto Premium Pasta Sauce When you buy ONE (1) Vero Gusto Premium Pasta Sauce, any variety or size",$1.00,
Save $0.30 on COFFEE MATE® product when you buy ONE (1) COFFEE MATE® Original Powder Coffee Creamer Canister (35.3 oz).,$0.30,
Save $2.00 on 2 Herbal Essences Products when you buy TWO (2) Herbal Essences Shampoo or Conditioner Products (11.7oz). [Excludes trial/travel size].,$2.00,"Shampoo, trial/travel size"
"Save $2.00 on 2 Pantene Products when you buy TWO (2) Pantene Shampoo, Conditioner or 2N1 Products (12-12.6oz). [Excludes trial/travel size].",$2.00,"Shampoo, trial/travel size"
Save $1.50 on  Pantene Product when you buy ONE (1) Pantene Hair Affair Product (3.7-5.9oz). [Excludes trial/travel size].,$1.50,trial/travel size
Save $1.50 on  Waterless Product when you buy ONE (1) Waterless Product (3.6-7.6oz). [Excludes trial/travel size].,$1.50,trial/travel size
Save $2.00 on 2 Aussie Products when you buy TWO (2) Aussie Shampoo or Conditioner Products (12.1oz). [Excludes trial/travel size].,$2.00,"Shampoo, trial/travel size"
"Save $1.50 on Advil or Advil PM Products when you buy any ONE (1) Advil or Advil PM, any variety (40ct or larger)",$1.50,larger
Save $3.00 on 2 Aussie Products when you buy TWO (2) Aussie Shampoo or Conditioner Products (26.2oz). [Excludes trial/travel size].,$3.00,"Shampoo, trial/travel size"
Save $3.00 on 2 Pantene Products when you buy TWO (2) Pantene Nutrient Blends Products (4.7-9.6oz). [Excludes trial/travel size].,$3.00,trial/travel size
Save $3.00 on 2 Herbal Essences Products when you buy TWO (2) Herbal Essences Bio:Renew Shampoo or Conditioner Products (12.1-13.5oz). [Excludes trial/travel size].,$3.00,"Shampoo, trial/travel size"
Save $3.00 on 2 Herbal Essences Products when you buy TWO (2) Herbal Essences Shampoo or Conditioner Products (29.2oz). [Excludes trial/travel size].,$3.00,"Shampoo, trial/travel size"
"Save $.50 on RETHINK JUICE SPLASH when you buy ONE (1) RETHINK JUICE SPLASH, Organic Naturally Flavored Kids Juice, any variety (8 pack)",$.50,Kids
"Save $0.40 on Kroger Flavored Sandwich Spreads When you buy ONE (1) Kroger Flavored Sandwich Spread, any variety (11 FO)",$0.40,Spread
"Save $0.50 on ZZZQUIL PURE Zzzs Products when you buy ONE (1) Vicks ZzzQuil PURE Zzzs Product. Excludes Kidz, Soothing Aromatherapy Balm, and trial/travel size.",$0.50,"PURE, trial/travel size"
Save $3.00 on 2 Hair Food Products when you buy TWO (2) Hair Food Products (10.1oz). [Excludes trial/travel size].,$3.00,trial/travel size
Save $1.00 on Tide Pods when you buy ONE (1) Tide Pods (15-20ct),$1.00,"Tide, Tide PODS"
"Save $0.50 Energizer® Batteries when you buy one (1) pack of Energizer® Batteries, any variety or size",$0.50,"Energizer® Batteries, pack of Energizer® Batteries"
"Save $1.00 on One Vietti Artisan Chili when you buy ONE (1) Vietti                                                      Artisan Canned Chili, any variety (15 oz)",$1.00,
"Buy 1 Finders Keepers, Get 1 Free! Buy ONE (1) Finders Keepers Milk Chocolate Candy &amp; Surprise, get your SECOND (2nd) Free",0,Chocolate Candy
Save $2.00 on Colgate® or Colgate® Zero Mouthwash when you buy ONE (1) Colgate® or Colgate® Zero Mouthwash (400 mL or larger),$2.00,larger
Save $2.00 on Oral-B Special Care Oral Rinse when you buy ONE (1) Oral-B Special Care Oral Rinse (475 ml or larger). Excludes trial/travel size.,$2.00,"Oral-B, larger, trial/travel size"
"Save $.50 on Di Martino Pasta When you buy ONE (1) Di Martino Pasta, any variety or size",$.50,
"Save $3.00 on Culturelle Probiotics When you buy ONE (1) Culturelle Probiotic, any variety or size",$3.00,
Save $5.00 on Oral-B Vitality OR Pro 500 Rechargeable Electric Toothbrush when you buy ONE (1) Oral-B Vitality OR Pro 500 Rechargeable Electric Toothbrush.,$5.00,"Oral-B Vitality, Pro 500 Rechargeable Electric Toothbrush, Oral-B, Pro 500 Rechargeable Electric"
"Save $5.00 on 2 Febreze, Prilosec, Vicks, Clearblue items when you buy TWO (2) Febreze Plug (2ct or 3ct Refills), Prilosec OTC (14ct), Vicks ZZZQuil (42ct or 12oz), Vicks Pure ZZZ's Gummies (48ct), or Clearblue Pregnancy Tests (2ct)",$5.00,"Prilosec, BLUE, PURE, Gum"
"Save $1.00 on Simple Truth Organic Potato Chips When you buy ONE (1) Simple Truth Organic Potato Chips, any variety (5 oz)",$1.00,
"Save $0.50 on Pine-Sol® Products When you buy ONE (1) Pine-Sol® Product, 40 oz. or Larger, any variety",$0.50,"Pine-Sol® product, larger"
"Save $1.00 on BENADRYL® product when you buy ONE (1) BENADRYL®  20ct, 24ct or 4oz product. Excludes topical, trial &amp; travel sizes",$1.00,"trial &amp; travel sizes, BENADRYL®, travel sizes, trial &amp, topical"
Save $5.00 on Non-Drowsy Claritin® Product When you buy ONE (1) Non-Drowsy Claritin® (24 count or larger),$5.00,"Claritin®, larger"
Save $8.00 on Non-drowsy Claritin® Liqui-Gels® or Tablets when you buy ONE (1) Non-drowsy Claritin® Liqui-Gels® (60 ct) or Tablets (70 ct or larger),$8.00,"Liqui-Gels®, Claritin®, larger"
Save $1.00 on Gardein® When you buy ONE (1) Gardein®  Skillet Meal (20 oz),$1.00,
"Save $4.00 on AllerLife When you buy ONE (1) AllerLife, any variety or size",$4.00,
"Save $1.50 on Paqui Chips Bag When you buy ONE(1) Paqui Chips Bag, any variety (7oz)",$1.50,
Save $3.00 on FINISH® QUANTUM™ OR FINISH® Max in 1® when you buy ONE (1) FINISH® QUANTUM™ (50ct) OR FINISH® Max in 1®(63ct),$3.00,
Save $1.00 on Fixodent Adhesive when you buy ONE (1) Fixodent Adhesive (1.4 oz OR larger). Excludes trial/travel size.,$1.00,"Fixodent Adhesive, Fixodent, larger, trial/travel size"
"Save $3.00 on 2 Native Deodorants When you buy TWO (2) Native Deodorants, any variety (2.65oz)",$3.00,
Save $1.00 on Gillette &amp; Venus Disposable Razors When you buy ONE (1) Gillette or Venus Disposable Razor (2CT or larger) (Excludes Treo &amp; Daisy 4CT),$1.00,"Venus, Daisy, larger"
"Save $2.00 on Olay Wipes or Age Defy Cleanser or Masks When you buy ONE (1) Olay Wipes, (25CT OR 66CT) or Age Defy Cleanser or Masks",$2.00,
"Save $0.70 on Simple Truth Guacamole When you buy ONE (1) Simple Truth Guacamole, any variety (8 OZ)",$0.70,
Save $15.00 on Oral-B 5000 OR 6000 Rechargeable Electric Toothbrush when you buy ONE (1) Oral-B 5000 OR 6000 Rechargeable Electric Toothbrush.,$15.00,Oral-B
Save $5.00 on Oral-B Pro 1000 OR 3000 Rechargeable Electric Toothbrush when you buy ONE (1) Oral-B Pro 1000 OR Pro 3000 Rechargeable Electric Toothbrush.,$5.00,Oral-B
Save $1.00 on Prilosec OTC Products when you buy ONE (1) Prilosec OTC Product.,$1.00,"Prilosec, Prilosec OTC Product"
"Save $.50 on LUVS Diapers When you buy ONE (1) LUVS Diapers, Bag (21ct-40ct), any variety or size. Excludes Trial and Travel Size",$.50,trial and travel
"Save $1.00 on Kashi® Cereals When you buy TWO (2) Kashi® Cereals (6.5 oz or Larger, Any Flavor, Mix or Match)",$1.00,larger
Save $0.75 on Private Selection Buffalo Chicken Dip When you buy ONE (1) Private Selection Buffalo Dip (10 OZ),$0.75,
Save $10.00 on Crest Whitestrips When you buy ONE (1) participating Crest Whitestrips item.  Excludes Crest Noticeably White Whitestrips.,$10.00,"Crest Whitestrips, Crest, Noticeably"
"Save $2.00 on Yucatan Guacamole Squeeze Product when you buy (1) Yucatan Guacamole Squeeze Product, any variety or size",$2.00,
"Save $0.75 on Private Selection Cheese Spreads When you buy ONE (1) Private Selection Cheese Spread, any variety (9 OZ)",$0.75,Spread
"Save $3.00 on Schick® Razor products When you buy ONE (1) Skintimate® or Schick® Disposable Razor Pack. Excludes Schick® Xtreme3® 1 ct., Schick® Xtreme2® and Skintimate® 2 &amp; 6 ct Disposables",$3.00,Disposables
Save $0.50 on Alocane Burn Gel When you buy ONE (1) Alocane Emergency Burn Gel,$0.50,
Save $.50 on Gillette &amp; Venus Shave Gels When you buy ONE (1) Gillette Proglide Shave Gel (6oz) OR Venus &amp; Olay Shave Gel (6oz) (Excludes all other varieties),$.50,Venus
"Save $4.00 on  Olay Regenerist Facial Moisturizer When you buy ONE (1) Olay Regenerist Facial Moisturizer, any variety or size",$4.00,
"Save $4.00 on SHEBA® Cat Food When you buy ONE (1) SHEBA® Perfect Portions™ Premium Cat Food, any variety  (12ct. Multipack)",$4.00,"SHEBA® PERFECT PORTIONS™ Premium Cat Food, SHEBA® PERFECT PORTIONS™"
"Save $1.50 on Huggies®‎ Little Swimmers®‎ Disposable Swimpants When you buy ONE (1) package of Huggies®‎ Little Swimmers®‎ Disposable Swimpants, any variety (10 ct. or larger)",$1.50,"HUGGIES®, larger"
"Save $0.50 on IWON Organics Sticks when you buy ONE (1) IWON Organic Stix, any variety (5oz).",$0.50,
"Save $1.25 on 2 Q Mixers When you buy TWO (2) Q Mixers, any variety",$1.25,
Save $2.00 on Bissell Clean &amp; Refresh Machine Formula When you buy ONE (1) Bissell Clean &amp; Refresh Machine Formula,$2.00,
Save $3.00 on 2 Head &amp; Shoulders Products when you buy TWO (2) Head &amp; Shoulders Supreme Shampoo or Conditioner Products (9.4-11.8oz). [Excludes trial/travel size].,$3.00,"Shampoo, trial/travel size"
Save $1.00 on  Sensible Portions Screamin' Hot Veggie Straws when you buy ONE (1) Sensible Portions Screamin' Hot Veggie Straw,$1.00,
"Save $1.00 on Vital Proteins Collagen Water OR Collagen Bar when you buy one (1) Vital Proteins Collagen Water OR Collagen Bar, any variety or size",$1.00,
Save $0.50 on ZZZQUIL ZzzQuil Products when you buy ONE (1) Vicks ZzzQuil Product. Excludes PURE Zzzs and trial/travel size.,$0.50,"PURE, trial/travel size"
Save $1.50 on 2 CLIF Granola when you buy TWO (2) CLIF Granola,$1.50,Granola
"Buy 1 Chef's Cut Real Jerky, Get 1 Chef's Cut Jerky Snack Stick Free Buy  ONE (1) Chef's Cut Real Jerky, any variety (2.5oz bag), Get ONE (1) Chef's Cut Jerky Snack Stick, any variety (1oz) Free",2.5,
Save $3.00 when you buy ONE (1) Mastercard® or Visa® gift card. * Restrictions Apply.  See Store for Details. (redeem 5/20/2020-6/9/2020),$3.00,Mastercard® or Visa® Gift Card
"Save $1.00 on 4505 Meats Chicharrones When you buy ONE (1) 4505 Meats Chicharrones, any variety (2.5 oz).",$1.00,
"Save $1 on Slimfast when you buy any ONE (1) Original or Advanced RTD or Powder, any variety or size",$1,
"Save $1.00 on Craisins® item when you buy ONE Craisins® item, any variety (20-24oz)",$1.00,
"Save $5.00 on Osteo Bi-Flex® Products. when you buy ONE (1) Osteo Bi-Flex® product, any variety (28ct or larger)",$5.00,"Osteo Bi-Flex®, Osteo Bi-Flex® product, larger"
"Save $1.50 on 2 Blue Diamond Nut Thins When you buy TWO (2) Blue Diamond Nut Thin Crackers, any variety (4.25 oz)",$1.50,"BLUE, Crackers"
"Save $2.00 on ZonePerfect® Keto products when you buy ONE (1) ZonePerfect® Keto Powder, 4-count Shake or 5-count Bar",$2.00,
Save $4.00 on Schick Men Razors When you buy ONE (1) Schick Hydro® or Schick® Quattro® Titanium* Razor or Refill. Excludes Schick® Disposables and Women's Razor or Refill coated blades,$4.00,Disposables
"Save $1.00 on Kodiak Cakes Bear Bites When you buy ONE (1) Kodiak Cakes Bear Bites, any variety or size",$1.00,cakes
"Save $5.00 on 1 bag of NUTRO™ WHOLESOME ESSENTIALS™ Cat Food When you buy ONE (1) bag of NUTRO™ WHOLESOME ESSENTIALS™ Dry Cat Food, any variety or size",$5.00,
Save $3.00 on Gillette &amp; Venus Blade Refills When you buy ONE (1) Gillette or Venus Blade Refill (4CT or larger) (Excludes Gillette3 4CT &amp; Gillette 5 4CT),$3.00,"Venus Blade Refill, Venus, larger"
"Buy 1  JUST Water, Get 1 Free Buy ONE (1) JUST Water product, any variety or size, Get your SECOND (2nd) Free",0,
Save $2.00 on Gillette &amp; Venus Razors When you buy ONE (1) Gillette or Venus Razor (excludes Disposable Razors &amp; Mach3 1UP Razor),$2.00,"Venus, Venus Razor"
"Buy 4 Beech-Nut Natural Jars, Get 1 Beech-Nut Natural Pouch FREE Buy FOUR (4) Beech-Nut Natural Jars, any variety or size,Get ONE (1) Beech-Nut Natural Pouch, any variety or size Free.",0,
Save $0.50 on CREATIVE ROOTS beverage When you buy ONE (1) CREATIVE ROOTS beverage,$0.50,
Save $1.00 on 2 Louis Kemp When you buy TWO (2) Louis Kemp Alaskan Delights (12oz) or Crab Delights (16oz),$1.00,
Save $0.30 on Simple Truth Organic Snack Crackers When you buy ONE (1) Simple Truth Organic Snack Crackers (8 oz),$0.30,Crackers
"Save $0.55 on OFF!® Products when you buy ONE (1) OFF!® Product, any variety. Excludes Club Packs, Twin Packs, 2 oz. and 2.5oz. OFF!® Products.",$0.55,"twin packs, OFF!® Products, Club Packs, OFF!®, OFF!® Product, Twin"
Save $0.75 on Simple Truth Fig &amp; Thyme Crisp Crackers When you buy ONE (1) Simple Truth Fig &amp; Thyme Crisp Crackers (5.3 oz),$0.75,Crackers
Save $3.00 on Claritin® Syrup when you buy ONE (1) Non-Drowsy Children's Claritin® Syrup (4oz or larger),$3.00,"Children's Claritin®, Children's Claritin® Syrup, Claritin®, larger"
"Save $3.00 on Similac® When you buy ONE (1) Similac®, (1.38 lb. or larger powder)",$3.00,larger
"Save $1.00 on Luvo When you buy ONE (1) Performance Kitchen Meal, any variety (8.25 - 10.25 oz).",$1.00,
Save 20% off Fresh Cut Lilies When you buy ONE (1) Bunch of Fresh Cut Lilies (any stem count).,0,
"Save $10.00 on 2 Enfamil Powder When you buy TWO units of Enfamil Infant Formula powder, any variety  (19.5 oz or larger)",$10.00,larger
"Save $1.00 on Babyganics Sunscreen or Deet Free Bug Spray when you buy ONE (1) Babyganics Sunscreen or Deet Free Bug Spray, any variety",$1.00,
Save $2.00 on Glucerna® When you buy ONE (1) Glucerna® multi-pack shake,$2.00,
Save $2.00 on PediaSure® When you buy ONE (1) PediaSure® product,$2.00,
Save $0.55 on Raid® Products when you buy ONE (1) Raid® Essential Oils Product. Excludes Raid® Club Packs and Twin Packs.,$0.55,"twin packs, Raid®, Raid® Essential Oils Product, Club Packs, Twin, Raid® Club Packs, Raid® Club Packs and Twin Packs"
"Save $3.00 on Bare Repulic Products when you buy ONE (1) Bare Republic Sun Product, any variety",$3.00,
"Save $1.00 on  2 Cheerwine when you buy Two (2) Cheerwine Glass Packages, any variety (4PK )",$1.00,
"Save $1.00 on MadeGood When you buy ONE (1) MadeGood  Granola Bar or Mini Item, any variety or size",$1.00,Granola
"Save $1.50 on Nutiva Red Palm Oil or Shortening when you buy ONE (1) Nutiva Red Palm Oil or Shortening, any variety or size",$1.50,
Save $1.00 on Gardein® Ultimate Burger When you buy ONE (1) Gardein® Ultimate Burger Frozen (2 Pack),$1.00,
Save $1.00 on Gardein® Breakfast Bowl When you buy any ONE (1) Gardein® Breakfast Bowl (8.5 oz),$1.00,
Save $1.50 on VISINE® product when you buy ONE (1) VISINE® product. Excludes trial/travel sizes.,$1.50,"travel sizes, trial/travel sizes, trial/travel size"
"Save $1.00 on YumEarth When you buy ONE (1)  YumEarth Organic Lollipops, Straberry or Black Licorice",$1.00,
"Save $2.00 on Earth's Best Chicken Fries When you buy ONE (1) bag of Earth's Best Chicken Fries, any variety or size",$2.00,
"Save $1.50 on NUK cups when you buy ONE (1) Nuk Cup item, any variety or size",$1.50,
Save $2.00 on 2 Head &amp; Shoulders and Pantene Products when you buy TWO (2) Head &amp; Shoulders Royal Oils or Pantene Gold Series Products (2.6-15.2oz). [Excludes trial/travel size].,$2.00,trial/travel size
"Save $1.00 on BodyMark by BIC® Tattoo Marker when you buy ONE (1) BodyMark by BIC® Tattoo Marker, any variety (1-pk)",$1.00,
"Save $3.00 on BodyMark™ by BIC® Tattoo Marker when you buy ONE (1) BodyMark™ by BIC® Tattoo Marker, any variety (3-pk)",$3.00,
"Save $8.00 on 2 Refresh Eye Drops When you buy TWO (2) packages of any Refresh Eye Drop, any variety or size. Excluding Refresh Repair.",$8.00,
"Save $5.00 on Systane When you buy ONE (1) Systane ICAP Vitamins, any variety or size",$5.00,
"Save $3.00 on Vital Proteins Powder Canister when you buy ONE (1) Vital Proteins Powder Canister, any variety or size",$3.00,
"Save $1.00 on Giovanni Eco Chic or 2Chic Shampoo or Conditioner When you buy ONE (1) Giovanni Eco Chic or 2Chic Shampoo or Conditioner, any variety (8.5 oz). Excludes Trial Size.",$1.00,Shampoo
"Save $0.75 on TAJIN Clasico Seasonings When you buy ONE (1) TAJIN Clasico Seasonings, any variety (4.23 oz or larger)",$0.75,larger
"Save $5.00 on Nutiva MCT Powder product when you buy ONE (1) Nutiva MCT Powder product, any variety or size",$5.00,
"Save $2.00 on Simple Truth Mulit-Vitamin Gummies When you buy ONE (1) Simple Truth Multi-Vitamin Gummies or Hair Skin &amp; Nails Gummies, any variety (100 ct)",$2.00,Gum
"Save  $4.00 on Nutiva MCT Oil Product when you buy ONE (1) Nutiva MCT Oil Product, any variety or size",$4.00,
"Save $0.75 on Simple Truth Organic Spice Rubs When you buy ONE (1) Simple Truth Organic Spice Rubs, any variety (3.5oz)",$0.75,
Save $1.00 on Biofreeze product When you buy Biofreeze Pain Relieving Product. Excluding travel sizes.,$1.00,travel sizes
"Earn 2x Fuel Points Download the digital coupon to earn 2x fuel points* when you shop on Thursdays, Fridays, Saturdays and Sundays starting May 21st through June 28th.",0,
"Save $2.00 on Bronkaid product When you buy any ONE (1) Bronkaid® product, any variety or size",$2.00,
"Save $1.00 on Kellogg's® Jumbo Snax When you buy any ONE (1) Kellogg's® Jumbo Snax (5.4 oz. or Larger, Any Flavor)",$1.00,larger
"Save $5.00 on Non-Drowsy Claritin-D® Products When you buy ONE (1) Non-Drowsy Claritin-D® product, any variety (15 count or larger)",$5.00,"Claritin-D®, larger"
Save $5.00 on PATADAY® Eye Allergy Itch Relief Drops When you buy ONE (1) PATADAY® Eye Allergy Itch Relief Drops.,$5.00,
"Save $1.00 on Milton's Gluten Free Cracker When you buy ONE (1) Milton's Gluten Free Crackers, any variety (4.5oz.)",$1.00,Crackers
"Save $0.50 on Shredded or Grated Sartori Cheese Deli Bags When you buy ONE (1) Shredded or Grated Sartori Cheese Deli Bag, any variety (8 oz.)",$0.50,
"Save $1.00 on Ripple Half &amp; Half product When you buy ONE (1) Ripple Half &amp;Half product, any variety",$1.00,
"Save $0.70 on Simple Truth Hummus When you buy ONE (1) Simple Truth Hummus, any variety (8 OZ)",$0.70,
"Save $2.00 on Chock full o' Nuts Coffee When you buy ONE (1) can of Chock full o' Nuts Coffee, any variety (23oz - 26oz)",$2.00,
Save $1.00 on Paper Check Cashing Fee when you cash a tax refund or government paper check at Money Services.,$1.00,
Save $1.00 on Simple Truth Emerge Plant Based Burger Patties When you buy ONE (1) Simple Truth Emerge Plant Based Patties (16 oz.),$1.00,
Save $1.50 on Simple Truth Emerge Plant Based Burger Grinds When you buy ONE (1) Simple Truth Emerge Plant Based Grinds (16 oz.),$1.50,
"Save $1.00 on Simple Truth Organic Parmesan Cheese When you buy ONE (1) Simple Truth Organic Parmesan Cheese Wedge, in Specialty Cheese, located in the Deli Dept.",$1.00,
"Save $5.00 on Refresh Eye Drops When you buy ONE (1) Refresh Relieva or Refresh Optive Mega-3 Eye Drop, any size",$5.00,
BUY 2 Buy 2 for $10.00,$10.00,
Save $2.00 on one (1) 18 lb - 20 lb bag of Purina® Dog Chow® or Purina® Puppy Chow® Dry Food,$2.00,Purina®
$1.00 OFF Tropic Sun SunScreen Lotion 6 oz. or Spray 5.5-6 oz. - When you clip the Family Dollar Smart Coupon.,$1.00,
$1.00 OFF Family Pet Meaty Cuts Dry Dog Food 28 lbs. - When you clip the Family Dollar Smart Coupon.,$1.00,
"Save $2.00 off ONE (1) Purex® Liquid 128-150oz.,
or 4-in-1 Pacs (45ct)",$2.00,PURE
Save $2.00 off ONE (1) all® liquid laundry detergent (88oz.) or mighty pacs® (39ct.),$2.00,Laundry Detergent
