description,FaceValue,Products
Save $3.00 ONE (1) Nexium® 24HR 28ct or larger,$3.00,"Nexium® 24HR, Nexium®, larger"
Save $2.00 on any ONE (1) Aleve® or Aleve®PM product 40ct. or larger (excludes Aleve-D®),$2.00,"Aleve® or Aleve®PM product, Aleve-D®, Aleve®PM product, Aleve®, larger"
"Save $2.00 ONE Always DISCREET Incontinence Product (excludes other Always Products, Always Discreet Boutique and trial/travel size).",$2.00,"Always DISCREET Incontinence Product, Always Discreet Boutique, Always Products, Always Discreet, DISCREET Incontinence Product, trial/travel size"
$1.50 Off any ONE (1) Mighty Spark All-Natural Poultry Patties or Ground Chicken,$1.50,"Ground Chicken, Mighty Spark All-Natural Poultry Patties"
Save $1.50 on any ONE (1) package of HUGGIES® LITTLE SWIMMERS® Disposable Swimpants (10 ct. or larger),$1.50,"HUGGIES® LITTLE SWIMMERS®, HUGGIES® LITTLE SWIMMERS® Disposable Swimpants, package of HUGGIES® LITTLE SWIMMERS® Disposable Swimpants, HUGGIES®, larger"
"Save $2.00 ONE Tide Antibacterial Spray (excludes Tide Stain Pen, Tide Rescue, Tide Laundry Detergent, Tide PODS and trial/travel size).",$2.00,"Laundry Detergent, Tide Laundry Detergent, Tide, Tide Rescue, Tide PODS, Tide Stain Pen, Tide Antibacterial Spray, trial/travel size"
"Save $3.00 on any ONE (1) package of POISE® Ultra Thin Pads or Active Collection® Pads or Liners (Reg Pack only) (Not valid on other Poise® Pads, Liners or Impressa® Products)",$3.00,"Poise® Pads, Impressa® Products, package of POISE® Ultra Thin Pads, Liners, Active Collection® Pads, Ultra"
Get $3.00 off any ONE (1) Box of PULL-UPS® Training Pants (40 ct. or higher),$3.00,"PULL-UPS® Training Pants, PULL-UPS®, Box of PULL-UPS® Training Pants"
Save $2.00 ONE Venus Razor (excludes disposables).,$2.00,"Venus, Disposables, Venus Razor"
"Save $1.00 ONE Tide Simply PODS 20 ct or larger (excludes Tide detergent, Tide Simply Detergent, Tide PODS, and trial/travel size)",$1.00,"Tide Simply PODS, Tide Simply Detergent, Tide, Tide detergent, Tide PODS, Tide Simply, larger, trial/travel size"
Save $8.00 on ONE (1) Claritin® Tabs or Liqui-Gels® 60ct or larger,$8.00,"Liqui-Gels®, Claritin® Tabs, Claritin®, larger"
SAVE $3.00 ONLY On Colgate® Optic White® Renewal Toothpaste (3.0 oz. or larger),$3.00,"Colgate® Optic White® Renewal Toothpaste, Colgate® Optic White®, larger"
SAVE $0.75 on ONE (1) Sabra® Dark Chocolate Dessert Dip &amp; Spread,$0.75,"Sabra® Dark Chocolate Dessert Dip, Spread"
$1.50 OFF on ONE (1) pint of N!ck's Ice Cream,$1.50,pint of N!ck's Ice Cream
Save $3.00 off any ONE (1) Children's Claritin® Syrup 4oz or larger,$3.00,"Children's Claritin®, Children's Claritin® Syrup, Claritin®, larger"
SAVE 55¢ on any ONE (1) Raid® Essential Oils Product&nbsp;(Excludes Raid® Club Packs and Twin Packs),$5.5,"twin packs, Raid®, Raid® Essential Oils Product, Club Packs, Twin, Raid® Club Packs, Raid® Club Packs and Twin Packs"
$5.00 OFF on any ONE (1) Osteo Bi-Flex® product (28ct or larger),$5.00,"Osteo Bi-Flex®, Osteo Bi-Flex® product, larger"
Save $3.00 ONE Always DISCREET Boutique Product (excludes other Always Products and trial/travel size).,$3.00,"Always DISCREET Boutique Product, Always Discreet Boutique, Always Products, Always Discreet, trial/travel size"
SAVE $0.75 on ONE (1) Sabra® Veggie Dip,$0.75,Sabra® Veggie Dip
SAVE $3.00 on any ONE (1) Florastor product,$3.00,"Florastor product, Florastor"
$1.00 OFF on any ONE (1) Reser's Deli Sides 12-14oz Item,$1.00,"Sides, Reser's Deli Sides"
"Save $5.00 on ONE (1) NUTRO™ WHOLESOME ESSENTIALS™ Dry Cat Food bag, any size",$5.00,NUTRO™ WHOLESOME ESSENTIALS™ Dry Cat Food bag
Save $5.00 ONE Oral-B Vitality OR Pro 500 Rechargeable Electric Toothbrush.,$5.00,"Oral-B Vitality, Pro 500 Rechargeable Electric Toothbrush, Oral-B, Pro 500 Rechargeable Electric"
"Save $4.00 ONE Olay Facial Moisturizer (excludes Serums, Complete, Active Hydrating and trial/travel size).",$4.00,"Serums, Active Hydrating, Olay Facial Moisturizer, Complete, trial/travel size"
Save $1.00 ONE Burts Bees Adult Toothpaste (excludes trial/travel size).,$1.00,"Burts Bees Adult Toothpaste, trial/travel size"
Save $4.00 ONE Venus Blade Refill (4 ct or larger).,$4.00,"Venus Blade Refill, Venus, larger"
"Save $1.00 TWO Old Spice Anti-Perspirant/Deodorant, Body Wash OR Bar Soap (excludes twin packs, High Endurance, Body Spray and Invisible Spray and trial/travel size).",$1.00,"High Endurance, Body Wash, twin packs, Body Spray, Invisible Spray, Old Spice Anti-Perspirant/Deodorant, Body Spray and Invisible Spray, Bar Soap, Spice Anti-Perspirant/Deodorant, Twin, trial/travel size"
Save $2.00 ONE Olay Facial Cleanser (excludes trial/travel size).,$2.00,"Olay Facial Cleanser, trial/travel size"
Save $0.75 ONE Burts Bees Kids Toothpaste (excludes trial/travel size).,$0.75,"Kids, Burts Bees Kids Toothpaste, trial/travel size"
Save $4.00 ONE Gillette Blade Refill (4 ct or larger).,$4.00,"Gillette Blade Refill, larger"
Save $3.00 ONE Gillette Disposable 2 ct or larger (excludes Sensor 2 ct and Venus Products).,$3.00,"Gillette Disposable, Venus, Sensor, Venus Products, excludes Sensor, larger"
"Save $2.00 ONE Gillette Razor (excludes Disposables, Venus Products and trial/travel size).",$2.00,"Gillette Razor, Venus, Disposables, Venus Products, trial/travel size"
"$5 1 Hot Bar Entree, 2 Sides, 1 Roll",$5,"Hot Bar Entree, Roll, Sides"
SAVE $1.00 on any TWO (2) Sargento® Natural Cheese Slices,$1.00,"Sargento®, Sargento® Natural Cheese Slices"
SAVE $0.50 off ONE (1) jar of Pace® Salsa or Picante Sauce,$0.50,"Picante Sauce, jar of Pace® Salsa, jar of Pace® Salsa or Picante Sauce, Salsa"
FREE SEG MAC & CHEESE when you buy any two (2) SPAM® 12oz products and get TWO (2) FREE SEG MAC &amp; CHEESE (Max. Value $1.50),$1.50,"FREE SEG MAC & CHEESE, SPAM® 12oz products"
"SAVE $1.00 ONE Gain Flings 12 ct TO 26 ct OR Gain Liquid Laundry Detergent (Includes Gain Botanicals and Gain Essential Oils) OR Gain Powder Laundry Detergent (excludes Gain Ultra Flings, Gain Fabric Enhancers, Gain Fireworks, Gain Flings 9 ct and trial/travel size).",$1.00,"Powder Laundry Detergent, Gain Botanicals, Gain Fabric Enhancers, Gain Ultra Flings, Gain Liquid, Laundry Detergent, Gain Flings, Gain Essential Oils, Gain Liquid Laundry Detergent, Gain Powder Laundry Detergent, Gain, Gain Fireworks, Ultra, trial/travel size"
"SAVE $1.00 ONE Crest Toothpaste 3 oz or more (excludes 4.6 oz Crest Cavity, Regular, Base Baking Soda, Tartar Control/Protection, F&amp;W Pep Gleem, Gum Detoxify and Gum Enamel variants, Whitening Therapy variants, Kids and trial/travel size).",$1.00,"Gum Detoxify and Gum Enamel variants, Regular, Kids, Base Baking Soda, Crest Toothpaste, Crest Cavity, Gum, Tartar Control/Protection, Crest, Whitening Therapy variants, variants, trial/travel size"
"SAVE $2.00 ONE Tide Laundry Detergent (excludes Tide Purclean Laundry Detergent, Studio by Tide Laundry Detergent, Tide PODS, Tide Rescue, Tide Simply Laundry Detergent, Tide Simply PODS, Tide Detergent 10 oz and trial/travel size).",$2.00,"Tide Simply PODS, Tide Purclean Laundry Detergent, Laundry Detergent, Tide Laundry Detergent, Studio by Tide Laundry Detergent, Tide, Tide detergent, Tide Rescue, Tide PODS, Tide Simply Laundry Detergent, Tide Simply, trial/travel size"
$2.00 OFF any TWO (2) Starbucks® Nitro Cold Brew (9.6 oz can) or Starbucks® Frappucino (13.7 oz bottle) - mix and match,$2.00,"Starbucks® Frappucino (13.7 oz bottle) - mix and match, Starbucks® Nitro Cold Brew, Starbucks®"
